,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[21,3]",0.536833,0.00382068,0.264258,0.314861,0.07619,0.575399,0.903364,4956.93,6080.11,321.711,0.999984
"prob_resp_class[21,4]",0.339502,0.00396813,0.269519,0.234098,0.0376003,0.252302,0.896537,3663.57,3386.29,237.771,1.00098
"prob_resp_class[22,1]",0.0521947,0.00267952,0.106779,0.0112463,0.000245261,0.00826161,0.321736,2517.69,1959.9,163.401,1.00233
"prob_resp_class[22,2]",0.0787568,0.00256001,0.113273,0.0339456,0.00124807,0.0263884,0.352856,3236.23,3193.99,210.036,1.0016
"prob_resp_class[22,3]",0.303696,0.00251555,0.172983,0.206664,0.036959,0.299791,0.585795,4923.33,5252.73,319.531,0.999917
"prob_resp_class[22,4]",0.565352,0.00428336,0.233012,0.242766,0.164358,0.547346,0.950691,2941.49,1980.43,190.907,1.00159
"prob_resp_class[23,1]",0.0313505,0.00146471,0.0594074,0.00907989,0.000240539,0.00681715,0.17093,2574.99,2277.93,167.121,1.00255
"prob_resp_class[23,2]",0.0986166,0.00309883,0.131811,0.0495475,0.00208474,0.0397541,0.410646,3059.77,2571.48,198.583,1.00176
"prob_resp_class[23,3]",0.195096,0.00147989,0.111149,0.125347,0.0248656,0.18839,0.389627,5853.76,5681.57,379.917,0.999883
"prob_resp_class[23,4]",0.674937,0.00420044,0.204789,0.201046,0.269391,0.693427,0.965181,2892.42,1936.26,187.722,1.00166
"prob_resp_class[24,1]",0.019814,0.000917579,0.0395201,0.00553845,0.000135012,0.00411964,0.108221,2743.06,2567.55,178.028,1.00237
"prob_resp_class[24,2]",0.113426,0.00369599,0.155182,0.0559019,0.00222127,0.044549,0.481015,3000.64,2330.85,194.745,1.00187
"prob_resp_class[24,3]",0.124952,0.00106518,0.0851156,0.0845896,0.0133596,0.111064,0.285013,6738.82,6149.55,437.359,0.999794
"prob_resp_class[24,4]",0.741808,0.00432104,0.198388,0.170758,0.314723,0.787689,0.976209,2936.72,1952.96,190.597,1.00167
